City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.3333,41.09,64,93,4.97,AU,1633291202
Barrow,71.2906,-156.7887,30.22,80,90,12.66,US,1633291187
Nizhniy Kuranakh,58.8353,125.4869,19.71,97,38,3.33,RU,1633291208
Albany,42.6001,-73.9662,66.09,88,100,1.3,US,1633290937
Teberda,43.4456,41.7448,48.06,97,100,4.47,RU,1633291212
Behshahr,36.6923,53.5526,64.58,77,0,2.44,IR,1633291214
Tuktoyaktuk,69.4541,-133.0374,34.11,89,100,19.91,CA,1633291215
The Valley,18.217,-63.0578,86.83,74,28,19.15,AI,1633291216
Lebu,-37.6167,-73.65,52.21,71,0,22.24,CL,1633290974
Ushuaia,-54.8,-68.3,39.2,91,100,5.99,AR,1633291217
Avarua,-21.2078,-159.775,77.05,69,75,9.22,CK,1633290920
Guajará,-2.9667,-57.6667,87.58,58,94,3.6,BR,1633291221
Bud,39.447,-86.1758,78.75,81,100,10.63,US,1633291223
Oyama,36.3,139.8,72.59,76,77,2.86,JP,1633291210
San Patricio,28.017,-97.5169,90.18,50,78,7.74,US,1633291226
Rocha,-34.4833,-54.3333,54.64,62,58,13.89,UY,1633291227
Bredasdorp,-34.5322,20.0403,49.32,87,39,3.44,ZA,1633291092
Souillac,-20.5167,57.5167,73.36,81,15,13.71,MU,1633291229
Svetlaya,46.5389,138.3297,53.67,82,100,5.93,RU,1633291231
Faanui,-16.4833,-151.75,78.66,70,52,10.54,PF,1633291226
Arraial do Cabo,-22.9661,-42.0278,74.41,83,4,25.52,BR,1633291234
Puerto Ayora,-0.7393,-90.3518,72.46,77,31,11.03,EC,1633291235
Puerto Madryn,-42.7692,-65.0385,62.1,29,12,15.86,AR,1633291237
Iberia,29.9502,-91.7507,89.06,63,58,4.03,US,1633291239
Cary,35.7915,-78.7811,84.6,56,100,3.0,US,1633291201
Bengkulu,-3.8004,102.2655,74.77,90,100,3.11,ID,1633291241
Bronte,37.7895,14.8342,64.49,89,10,2.39,IT,1633291243
Hermanus,-34.4187,19.2345,53.91,67,55,7.58,ZA,1633291244
Chara,56.9064,118.2631,28.24,71,39,2.06,RU,1633291244
Haines Junction,60.7522,-137.5108,34.41,90,100,3.6,CA,1633291340
Katiola,8.1333,-5.1,75.65,87,67,4.79,CI,1633291341
Saint-Philippe,-21.3585,55.7679,71.22,83,43,15.01,RE,1633291227
Tūkrah,32.5341,20.5791,70.92,67,0,13.22,LY,1633291344
Skjervøy,70.0311,20.9714,51.04,68,100,22.77,NO,1633291345
Lamu,-2.2717,40.902,77.22,81,70,11.16,KE,1633291346
Hobart,-42.8794,147.3294,54.1,92,75,0.0,AU,1633291208
Baculin,7.4525,126.5842,76.95,84,100,5.08,PH,1633291349
Lejanías,3.5251,-74.0216,79.16,80,69,5.79,CO,1633291350
Flinders,-34.5833,150.8552,62.8,82,90,1.01,AU,1633291351
Nicolás R Casillas,20.5333,-103.4667,77.95,62,100,3.62,MX,1633291354
Mataura,-46.1927,168.8643,45.48,88,100,7.72,NZ,1633291226
Bethel,41.3712,-73.414,75.81,72,87,5.08,US,1633291263
Tigil',57.8,158.6667,41.9,92,100,17.4,RU,1633291357
Vung Tau,10.346,107.0843,79.56,81,100,3.4,VN,1633291358
Te Anau,-45.4167,167.7167,45.55,98,100,2.55,NZ,1633291243
Kavieng,-2.5744,150.7967,81.03,75,100,3.83,PG,1633291258
Srednekolymsk,67.45,153.6833,22.5,95,97,4.38,RU,1633291362
Umluj,25.0213,37.2685,81.79,59,5,9.19,SA,1633291363
Vaini,-21.2,-175.2,74.17,81,100,23.31,TO,1633291364
Sitka,57.0531,-135.33,44.49,76,75,0.0,US,1633291366
Ancud,-41.8697,-73.8203,49.33,68,99,11.16,CL,1633291367
Gambissara,13.2382,-14.3108,80.19,81,57,4.23,SN,1633291368
Cape Town,-33.9258,18.4232,57.09,59,2,18.34,ZA,1633291369
Nikolskoye,59.7035,30.7861,48.4,87,0,7.85,RU,1633291260
Departamento de Maldonado,-34.6667,-54.9167,55.22,62,54,13.65,UY,1633291326
Kavaratti,10.5669,72.642,81.59,79,100,10.63,IN,1633291373
Kapaa,22.0752,-159.319,78.78,78,17,4.0,US,1633291374
Rosarito,32.3333,-117.0333,96.04,45,99,6.2,MX,1633291376
Puerto Escondido,15.85,-97.0667,86.13,70,20,6.93,MX,1633291342
