City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hithadhoo,-0.6,73.0833,83.34,67,100,7.9,MV,1633797558
Busselton,-33.65,115.3333,46.09,80,16,8.14,AU,1633797559
Saint Paul Harbor,57.79,-152.4072,49.51,46,90,9.22,US,1633797560
Sitka,57.0531,-135.33,48.09,76,90,17.27,US,1633797562
New Norfolk,-42.7826,147.0587,47.7,62,44,3.0,AU,1633797563
Araci,-11.3333,-38.9667,97.16,23,72,10.58,BR,1633797564
Szydłowiec,51.2282,20.8611,48.52,55,8,6.4,PL,1633797566
Denpasar,-8.65,115.2167,78.46,88,40,3.44,ID,1633797430
Saint George,37.1041,-113.5841,64.87,85,40,4.0,US,1633797568
Port Macquarie,-31.4333,152.9167,58.96,94,14,9.82,AU,1633797569
Krasnosel'kup,65.7,82.4667,27.39,77,100,17.36,RU,1633797314
Carnarvon,-24.8667,113.6333,64.47,72,0,20.71,AU,1633797572
Nanortalik,60.1432,-45.2371,38.64,77,18,2.71,GL,1633797573
Chanute,37.6792,-95.4572,84.78,50,1,14.97,US,1633797574
Cherskiy,68.75,161.3,0.03,100,96,4.21,RU,1633797575
Tiksi,71.6872,128.8694,22.35,83,99,7.07,RU,1633797577
Grenville,12.1167,-61.6167,81.9,79,100,10.69,GD,1633797578
Vaini,-21.2,-175.2,69.96,94,75,4.61,TO,1633797579
Alihe,50.5667,123.7167,38.91,97,100,4.68,CN,1633797581
São José da Coroa Grande,-8.8978,-35.1478,81.32,62,98,11.03,BR,1633797582
Albany,42.6001,-73.9662,65.44,72,100,1.99,US,1633797570
Mataura,-46.1927,168.8643,41.49,97,30,3.18,NZ,1633797584
Ostrovnoy,68.0531,39.5131,36.75,79,96,12.39,RU,1633797586
Khovd,48.0056,91.6419,33.55,41,0,1.3,MN,1633797588
Kissamos,35.4939,23.6569,74.88,79,0,4.76,GR,1633797589
Thompson,55.7435,-97.8558,37.56,100,90,3.44,CA,1633797358
Rikitea,-23.1203,-134.9692,73.9,82,10,17.63,PF,1633797592
Saskylakh,71.9167,114.0833,10.42,100,100,2.82,RU,1633797593
Iba,15.3667,120.0333,77.14,86,100,2.75,PH,1633797594
Salalah,17.0151,54.0924,82.49,83,20,6.91,OM,1633797596
Lavrentiya,65.5833,-171.0,29.16,83,86,10.27,RU,1633797597
Geraldton,-28.7667,114.6,54.01,66,0,9.22,AU,1633797598
Chokurdakh,70.6333,147.9167,0.48,100,97,4.59,RU,1633797601
East London,-33.0153,27.9116,61.74,77,0,23.02,ZA,1633797602
Launceston,-41.45,147.1667,47.8,81,10,11.5,AU,1633797604
Iskateley,67.6803,53.1512,30.92,76,82,8.72,RU,1633797605
Butaritari,3.0707,172.7902,82.04,64,83,14.97,KI,1633797607
Ambilobe,-13.2,49.05,75.25,62,70,7.09,MG,1633797608
Avarua,-21.2078,-159.775,64.45,100,40,1.14,CK,1633797609
Waingapu,-9.6567,120.2641,77.41,80,21,4.29,ID,1633797611
Nikolskoye,59.7035,30.7861,53.87,80,100,6.11,RU,1633797612
Ushuaia,-54.8,-68.3,47.82,66,40,6.91,AR,1633797607
Cedar City,37.6775,-113.0619,51.4,67,75,0.0,US,1633797615
Outjo,-20.1167,16.15,85.19,9,0,16.02,NA,1633797616
Harper,4.375,-7.7169,79.66,83,93,7.78,LR,1633797617
Östersund,63.1792,14.6357,55.85,88,75,9.22,SE,1633797618
Necochea,-38.5473,-58.7368,68.04,52,0,7.76,AR,1633797620
Jamestown,42.097,-79.2353,67.59,94,90,10.0,US,1633797385
Punta Arenas,-53.15,-70.9167,60.91,44,40,27.63,CL,1633797505
Puerto Ayora,-0.7393,-90.3518,76.96,81,96,12.21,EC,1633797623
Cape Town,-33.9258,18.4232,66.27,64,20,17.27,ZA,1633797545
Tuktoyaktuk,69.4541,-133.0374,28.4,93,90,5.75,CA,1633797626
Husavik,66.0449,-17.3389,40.91,91,100,8.03,IS,1633797627
Bredasdorp,-34.5322,20.0403,63.72,55,13,10.36,ZA,1633797628
Saint-Augustin,51.226,-58.6502,49.6,42,12,5.53,CA,1633797629
Hazorasp,41.3194,61.0742,49.84,43,13,8.57,UZ,1633797631
Kapaa,22.0752,-159.319,76.12,75,40,5.99,US,1633797339
Bethel,41.3712,-73.414,66.92,75,75,1.01,US,1633797633
Kahului,20.8947,-156.47,74.46,91,40,13.8,US,1633797628
Bluff,-46.6,168.3333,41.81,89,45,9.1,NZ,1633797635
Lagoa,39.05,-27.9833,69.89,72,19,17.36,PT,1633797638
Saint-Philippe,-21.3585,55.7679,72.99,83,59,13.94,RE,1633797639
Leningradskiy,69.3833,178.4167,16.07,95,100,4.12,RU,1633797640
Xam Nua,20.4197,104.0439,67.55,96,100,0.29,LA,1633797643
Formosa,-26.1775,-58.1781,71.58,94,90,6.91,AR,1633797644
Provideniya,64.3833,-173.3,28.27,82,83,5.55,RU,1633797646
Sítio Novo do Tocantins,-5.5183,-47.4611,91.33,55,75,4.61,BR,1633797648
Richards Bay,-28.783,32.0377,68.7,80,65,19.24,ZA,1633797649
Bandarbeyla,9.4942,50.8122,78.44,84,12,24.47,SO,1633797650
Voskresenskoye,56.8381,45.4317,43.18,69,93,5.39,RU,1633797651
Monkey Bay,-14.0728,34.9201,80.11,54,2,3.89,MW,1633797653
Iqaluit,63.7506,-68.5145,37.13,93,90,5.01,CA,1633797654
Etchoropo,26.7667,-109.6667,93.34,29,8,7.74,MX,1633797655
Pedra Branca,-5.4542,-39.7172,90.84,34,84,5.12,BR,1633797656
Simpang,-1.2667,104.0833,78.4,85,99,2.75,ID,1633797658
Khatanga,71.9667,102.5,15.87,96,100,3.11,RU,1633797660
Hong Kong,22.2855,114.1577,80.58,95,100,1.01,HK,1633797566
Kavaratti,10.5669,72.642,82.74,78,100,11.07,IN,1633797664
Salinas,36.6777,-121.6555,63.19,56,90,3.44,US,1633797665
Raja,8.4596,25.678,83.12,51,97,1.36,SS,1633797666
Chiautla,19.5333,-98.8833,67.86,52,43,2.89,MX,1633797668
Arraial do Cabo,-22.9661,-42.0278,73.36,64,90,11.5,BR,1633797669
Aden,12.7794,45.0367,86.43,75,53,14.27,YE,1633797634
Cabra,37.4725,-4.4421,81.84,33,55,3.62,ES,1633797671
São Filipe,14.8961,-24.4956,81.63,73,15,5.73,CV,1633797673
Kānkon,15.0167,74.0167,80.33,83,93,4.47,IN,1633797674
Itaituba,-4.2761,-55.9836,93.36,59,20,5.75,BR,1633797676
Rurrenabaque,-14.4413,-67.5278,93.09,59,40,4.61,BO,1633797678
Tsarychanka,48.937,34.4786,48.94,24,100,10.2,UA,1633797679
Bengkulu,-3.8004,102.2655,77.23,92,38,5.01,ID,1633797680
Mabusag,17.9261,120.4976,78.4,82,86,2.91,PH,1633797682
Havelock,34.8791,-76.9013,76.98,90,100,8.21,US,1633797683
Cockburn Town,21.4612,-71.1419,83.01,72,79,12.71,TC,1633797684
Fairbanks,64.8378,-147.7164,36.3,91,90,0.0,US,1633797644
Coquimbo,-29.9533,-71.3436,60.53,63,20,11.5,CL,1633797687
Lebu,-37.6167,-73.65,58.89,69,8,10.13,CL,1633797688
Villefontaine,45.6125,5.1456,60.48,77,0,8.05,FR,1633797689
Mahébourg,-20.4081,57.7,73.69,78,40,11.5,MU,1633797690
Torbay,47.6666,-52.7314,46.89,78,75,29.93,CA,1633797692
Payo,-3.7508,103.6372,76.37,85,87,2.24,ID,1633797693
Varangaon,21.0167,75.9,80.17,65,26,1.28,IN,1633797694
Namatanai,-3.6667,152.4333,77.81,85,84,3.76,PG,1633797696
North Bend,43.4065,-124.2243,56.86,96,1,8.05,US,1633797697
Kericho,-0.3677,35.2831,65.34,98,100,2.13,KE,1633797698
Fort Nelson,58.8053,-122.7002,38.79,75,40,0.0,CA,1633797700
Qaanaaq,77.484,-69.3632,25.68,94,100,13.65,GL,1633797701
Longyearbyen,78.2186,15.6401,21.04,73,20,5.75,SJ,1633797691
Berlevåg,70.8578,29.0864,37.6,90,100,5.82,NO,1633797703
Vallenar,-28.5708,-70.7581,74.16,19,0,11.12,CL,1633797705
Dikson,73.5069,80.5464,29.55,72,100,22.62,RU,1633797707
Bozoum,6.3193,16.3799,73.99,87,94,1.54,CF,1633797709
Pevek,69.7008,170.3133,23.9,93,100,2.3,RU,1633797712
Ngunguru,-35.6167,174.5,52.16,84,12,10.83,NZ,1633797714
Lewistown,40.5992,-77.5714,68.58,88,90,4.61,US,1633797573
Qinzhou,21.95,108.6167,70.41,95,100,21.85,CN,1633797717
Hofn,64.2539,-15.2082,47.64,84,100,3.71,IS,1633797718
Ucluelet,48.9329,-125.5528,52.11,90,100,1.01,CA,1633797577
Barrow,71.2906,-156.7887,30.22,69,90,9.22,US,1633797720
Wick,58.4333,-3.0833,55.45,94,75,9.22,GB,1633797722
Diamantino,-14.4086,-56.4461,100.24,29,91,5.75,BR,1633797723
Kaitangata,-46.2817,169.8464,41.0,94,40,4.23,NZ,1633797725
Aswān,24.0934,32.907,99.7,18,0,12.66,EG,1633797726
Tshikapa,-6.4167,20.8,84.18,44,55,1.16,CD,1633797727
Castro,-24.7911,-50.0119,56.62,98,100,6.11,BR,1633797729
Plettenberg Bay,-34.0527,23.3716,59.49,71,46,8.55,ZA,1633797730
Grindavik,63.8424,-22.4338,49.95,93,90,12.66,IS,1633797731
Straumen,63.8709,11.2999,55.62,92,100,0.56,NO,1633797732
Purpe,64.4803,76.6897,28.29,94,100,27.07,RU,1633797734
Mount Isa,-20.7333,139.5,82.17,34,86,1.14,AU,1633797735
Ipixuna,-1.7625,-48.8043,85.95,47,97,5.53,BR,1633797736
Galle,6.0367,80.217,80.73,82,98,9.48,LK,1633797738
Souillac,-20.5167,57.5167,73.78,78,40,11.5,MU,1633797739
Atuona,-9.8,-139.0333,77.95,71,15,18.95,PF,1633797740
George Town,5.4112,100.3354,81.9,91,20,0.0,MY,1633797741
Hobart,-42.8794,147.3294,48.06,70,40,1.99,AU,1633797563
Otane,-39.8833,176.6333,50.38,83,29,6.91,NZ,1633797744
Port Alfred,-33.5906,26.891,63.23,70,1,20.31,ZA,1633797745
Minggang,32.4586,114.0486,64.87,84,100,7.45,CN,1633797746
Cabo San Lucas,22.8909,-109.9124,93.61,52,8,3.0,MX,1633797661
Hermanus,-34.4187,19.2345,59.76,72,6,5.32,ZA,1633797749
Flinders,-34.5833,150.8552,65.05,81,64,7.05,AU,1633797750
Española,35.9911,-106.0806,73.27,39,48,15.79,US,1633797751
Ahipara,-35.1667,173.1667,53.56,74,66,10.33,NZ,1633797752
Kenai,60.5544,-151.2583,42.89,89,90,10.36,US,1633797754
Vardø,70.3705,31.1107,38.3,97,100,9.35,NO,1633797755
La Ronge,55.1001,-105.2842,48.45,53,1,5.75,CA,1633797757
San Andrés,12.5847,-81.7006,86.02,74,20,16.11,CO,1633797636
Storforshei,66.4043,14.5233,49.66,96,100,4.81,NO,1633797759
Waverly,42.7392,-84.6208,72.09,86,90,6.91,US,1633797760
Courcelles,50.4638,4.3747,60.39,72,0,8.05,BE,1633797641
Talnakh,69.4865,88.3972,13.69,90,89,13.62,RU,1633797763
Praia da Vitória,38.7333,-27.0667,75.76,78,20,14.14,PT,1633797764
Urengoy,65.9667,78.3667,28.54,67,100,16.2,RU,1633797765
Norman Wells,65.282,-126.8329,23.04,93,75,3.44,CA,1633797767
Pangkalanbuun,-2.6833,111.6167,76.03,94,70,1.86,ID,1633797768
Codajás,-3.8367,-62.0569,97.59,38,99,3.94,BR,1633797769
Mayo,38.8876,-76.5119,73.24,78,75,10.0,US,1633797771
Shelburne,44.0787,-80.2041,64.6,99,100,10.76,CA,1633797772
Águas Vermelhas,-15.7472,-41.46,84.96,41,95,6.13,BR,1633797773
Lincoln,40.8,-96.667,71.98,73,1,14.97,US,1633797695
Honningsvåg,70.9821,25.9704,38.48,93,100,4.25,NO,1633797776
Mogadishu,2.0371,45.3438,78.55,88,24,12.28,SO,1633797777
Aksarka,66.5606,67.7975,30.04,80,95,9.01,RU,1633797778
Esperance,-33.8667,121.9,48.04,60,89,6.2,AU,1633797779
Najrān,17.4924,44.1277,84.85,27,30,9.51,SA,1633797731
Qui Nhon,13.7667,109.2333,79.41,82,66,5.14,VN,1633797782
Nizhniy Kislyay,50.8497,40.1719,45.09,49,88,6.26,RU,1633797783
Kovdor,67.5662,30.4758,37.17,99,100,4.68,RU,1633797785
Nouakchott,18.0858,-15.9785,111.13,32,96,2.82,MR,1633797549
Kurtamysh,54.9103,64.4319,43.7,71,39,7.61,RU,1633797789
Upernavik,72.7868,-56.1549,29.82,53,100,7.96,GL,1633797790
Mar del Plata,-38.0023,-57.5575,63.0,62,0,13.0,AR,1633797792
Oranjemund,-28.55,16.4333,59.74,78,15,21.99,NA,1633797793
Auki,-8.7676,160.7034,76.37,88,100,2.33,SB,1633797794
Tsiroanomandidy,-18.7667,46.0333,75.58,47,98,4.07,MG,1633797796
Tautira,-17.7333,-149.15,77.02,71,36,1.59,PF,1633797798
Bambous Virieux,-20.3428,57.7575,73.65,78,40,11.5,MU,1633797799
Montero,-17.3333,-63.25,96.48,33,88,11.25,BO,1633797801
Rust,48.2667,7.7333,61.88,67,0,9.22,DE,1633797802
Ponta do Sol,32.6667,-17.1,78.71,68,20,2.44,PT,1633797803
Kruisfontein,-34.0033,24.7314,60.89,70,7,14.18,ZA,1633797804
Morondava,-20.2833,44.2833,77.14,79,24,6.82,MG,1633797806
Chui,-33.6971,-53.4616,63.23,64,58,12.24,UY,1633797807
Dzhebariki-Khaya,62.2167,135.8,31.68,98,100,5.84,RU,1633797808
Zarechnyy,53.2036,45.1923,49.32,33,6,3.4,RU,1633797810
Chernyshevskiy,63.0128,112.4714,33.53,96,100,13.06,RU,1633797811
Marsh Harbour,26.5412,-77.0636,82.2,67,76,2.98,BS,1633797812
Sola,-13.8833,167.55,79.56,81,87,20.15,VU,1633797814
Hastings,50.8552,0.5729,63.79,79,45,6.67,GB,1633797815
Korla,41.7597,86.1469,47.07,39,1,4.09,CN,1633797817
Port Keats,-14.25,129.55,79.86,80,14,6.29,AU,1633797818
Aras,42.5617,-2.356,61.21,55,0,9.22,ES,1633797819
Saint-François,46.4154,3.9054,56.68,78,90,2.3,FR,1633797822
Fortuna,40.5982,-124.1573,54.36,56,20,3.0,US,1633797823
Balikpapan,-1.2675,116.8289,80.22,82,100,9.4,ID,1633797824
Honiara,-9.4333,159.95,77.23,90,90,0.6,SB,1633797825
Cheney,47.4874,-117.5758,47.77,72,75,5.75,US,1633797827
Ilulissat,69.2167,-51.1,28.42,40,75,11.5,GL,1633797828
Callaway,30.153,-85.5699,86.92,56,1,4.0,US,1633797830
Yellowknife,62.456,-114.3525,42.42,99,90,10.36,CA,1633797831
Umarizal,-5.9906,-37.8144,98.55,25,42,9.69,BR,1633797832
Karratha,-20.7377,116.8463,78.42,24,0,10.4,AU,1633797833
Donskoye,45.4552,41.9741,51.57,51,81,18.39,RU,1633797835
Codrington,-38.2667,141.9667,48.83,65,98,6.91,AU,1633797836
Faya,18.3851,42.4509,73.51,35,46,11.83,SA,1633797837
Arkadak,51.9326,43.4978,44.6,63,0,5.59,RU,1633797839
Caravelas,-17.7125,-39.2481,76.24,69,97,8.79,BR,1633797842
Río Gallegos,-51.6226,-69.2181,66.25,30,75,29.93,AR,1633797600
San Patricio,28.017,-97.5169,86.88,48,21,8.1,US,1633797847
Emba,48.8264,58.1442,48.67,43,0,6.85,KZ,1633797848
Tabou,4.423,-7.3528,79.74,84,96,8.23,CI,1633797849
Simao,22.7886,100.9748,62.73,94,100,2.59,CN,1633797850
Acapulco de Juárez,16.8634,-99.8901,85.82,74,40,3.44,MX,1633797684
Lüderitz,-26.6481,15.1594,67.41,55,4,25.52,NA,1633797854
Wollongong,-34.4333,150.8833,64.92,81,63,6.6,AU,1633797568
Valle de Allende,26.9333,-105.4,79.2,21,0,2.26,MX,1633797856
Dunedin,-45.8742,170.5036,48.79,91,4,4.25,NZ,1633797857
Ngama,11.7833,17.1667,92.79,30,92,3.31,TD,1633797859
Devils Lake,48.1128,-98.8651,48.94,97,90,8.99,US,1633797860
Yar-Sale,66.8333,70.8333,28.56,78,54,14.74,RU,1633797862
Road Town,18.4167,-64.6167,89.64,55,20,11.5,VG,1633797863
Laguna,38.421,-121.4238,62.44,74,1,1.01,US,1633797864
Krasnovishersk,60.4078,57.082,38.03,78,99,4.43,RU,1633797866
Hervey Bay,-25.2986,152.8535,71.02,75,2,9.71,AU,1633797867
Shatsk,54.0258,41.7119,42.82,64,0,5.95,RU,1633797868
Bathsheba,13.2167,-59.5167,88.41,70,40,13.8,BB,1633797869
Port Elizabeth,-33.918,25.5701,64.69,63,0,19.57,ZA,1633797871
Yārāda,17.65,83.2667,82.72,89,75,5.75,IN,1633797872
Zhigansk,66.7697,123.3711,34.02,99,100,17.6,RU,1633797873
Ribeira Grande,38.5167,-28.7,73.8,73,20,17.27,PT,1633797874
Alice Springs,-23.7,133.8833,78.35,27,86,10.36,AU,1633797876
